algo,scenario,map,start,goal,n_goals,total_time_us,peak_step_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bug2,no_roads,chess,690,438,1,1114.029000,133.691000,1,1,1.000000,1,126,42,2401
bug-bug2,no_roads,chess,2179,346,1,975.196000,128.838000,1,1,1.000000,1,111,37,2401
bug-bug2,no_roads,chess,1988,2189,1,152.625000,41.403000,1,1,1.000000,1,15,5,2401
bug-bug2,no_roads,chess,1619,267,1,795.846000,128.391000,1,1,1.000000,1,90,30,2401
bug-bug2,no_roads,chess,1732,1269,1,722.698000,114.066000,1,1,1.000000,1,81,27,2401
bug-bug2,no_roads,chess,129,124,1,202.178000,51.414000,1,1,1.000000,1,24,8,2401
bug-bug2,no_roads,chess,283,677,1,258.231000,59.471000,1,1,1.000000,1,30,10,2401
bug-bug2,with_roads,chess,1895,369,1,817.770000,120.996000,1,1,1.586207,0,92,32,2401
bug-bug2,with_roads,chess,112,2191,1,1055.202000,149.188000,1,1,1.774194,1,110,42,2401
bug-bug2,with_roads,chess,819,744,1,649.579000,107.400000,1,1,1.423077,1,74,26,2401
bug-bug2,with_roads,chess,690,438,1,1048.943000,133.647000,1,1,1.386364,1,122,42,2401
bug-bug2,with_roads,chess,2179,346,1,919.850000,127.920000,1,1,1.656716,1,111,37,2401
bug-bug2,with_roads,chess,1988,2189,1,126.812000,38.957000,1,1,1.000000,1,15,5,2401
bug-bug2,with_roads,chess,1619,267,1,787.944000,133.638000,1,1,1.073171,1,88,30,2401
bug-bug2,with_roads,chess,1732,1269,1,780.180000,156.675000,1,1,1.179104,1,79,27,2401
bug-bug2,with_roads,chess,129,124,1,204.856000,54.137000,1,1,1.000000,1,24,8,2401
bug-bug2,with_roads,chess,283,677,1,258.019000,60.425000,1,1,1.000000,1,30,10,2401
bug-bug2,no_roads,chrysanthemum,1700,252,1,595.655000,52.355000,1,1,1.000000,1,87,29,2300
bug-bug2,no_roads,chrysanthemum,51,1960,1,1447.382000,254.507000,1,1,1.000000,1,141,47,2300
bug-bug2,no_roads,chrysanthemum,679,600,1,963.708000,120.914000,1,1,1.225806,1,114,38,2300
bug-bug2,no_roads,chrysanthemum,541,333,1,198.194000,33.781000,1,1,1.000000,1,24,8,2300
bug-bug2,no_roads,chrysanthemum,1948,225,1,1316.307000,147.888000,1,1,1.022222,1,138,46,2300
bug-bug2,no_roads,chrysanthemum,1805,1956,1,85.061000,35.053000,1,1,1.000000,1,9,3,2300
bug-bug2,no_roads,chrysanthemum,1444,193,1,615.911000,64.672000,1,1,1.000000,1,75,25,2300
bug-bug2,no_roads,chrysanthemum,1563,1096,1,1008.472000,193.730000,1,1,1.058824,1,108,36,2300
bug-bug2,no_roads,chrysanthemum,65,61,1,87.340000,29.693000,1,1,1.000000,1,12,4,2300
bug-bug2,no_roads,chrysanthemum,206,519,1,503.202000,103.804000,1,1,1.000000,1,54,18,2300
bug-bug2,with_roads,chrysanthemum,1700,252,1,600.347000,51.180000,1,1,1.491228,1,85,29,2300
bug-bug2,with_roads,chrysanthemum,51,1960,1,1325.429000,147.235000,1,1,1.763889,0,127,47,2300
bug-bug2,with_roads,chrysanthemum,679,600,1,938.741000,115.119000,1,1,1.361111,1,98,38,2300
bug-bug2,with_roads,chrysanthemum,541,333,1,198.488000,34.224000,1,1,1.000000,1,24,8,2300
bug-bug2,with_roads,chrysanthemum,1948,225,1,1141.855000,142.098000,1,1,1.022222,1,138,46,2300
