algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-jps-dial,no_roads,battlebot,443,79,181.7,0,,,
astar-jps-dial,no_roads,battlebot,12,514,135.9,0,,,
astar-jps-dial,no_roads,battlebot,180,160,44.4,0,,,
astar-jps-dial,no_roads,battlebot,147,96,336.6,0,,,
astar-jps-dial,no_roads,battlebot,511,74,323.6,0,,,
astar-jps-dial,no_roads,battlebot,471,514,43.3,0,,,
astar-jps-dial,no_roads,battlebot,375,66,128.2,0,,,
astar-jps-dial,no_roads,battlebot,409,280,61.9,0,,,
astar-jps-dial,no_roads,battlebot,16,15,31.5,0,,,
astar-jps-dial,no_roads,battlebot,69,143,133.6,0,,,
astar-jps-dial,no_roads,battlebot,154,338,97.3,0,,,
astar-jps-dial,no_roads,battlebot,416,13,766.0,0,,,
astar-jps-dial,no_roads,battlebot,388,130,103.7,0,,,
astar-jps-dial,no_roads,battlebot,496,451,48.4,0,,,
astar-jps-dial,no_roads,battlebot,489,375,137.3,0,,,
astar-jps-dial,no_roads,battlebot,277,144,178.1,0,,,
astar-jps-dial,no_roads,battlebot,297,408,123.5,0,,,
astar-jps-dial,no_roads,battlebot,183,559,183.3,0,,,
astar-jps-dial,no_roads,battlebot,597,3,718.3,0,,,
astar-jps-dial,no_roads,battlebot,526,557,105.4,0,,,
astar-dial-cheb,with_roads,battlebot,443,79,337.8,0,,,
astar-dial-cheb,with_roads,battlebot,12,514,73.8,0,,,
astar-dial-cheb,with_roads,battlebot,180,160,11.9,0,,,
astar-dial-cheb,with_roads,battlebot,147,96,337.1,0,,,
astar-dial-cheb,with_roads,battlebot,511,74,339.2,0,,,
astar-dial-cheb,with_roads,battlebot,471,514,14.0,0,,,
astar-dial-cheb,with_roads,battlebot,375,66,208.3,0,,,
astar-dial-cheb,with_roads,battlebot,409,280,68.2,0,,,
astar-dial-cheb,with_roads,battlebot,16,15,8.8,0,,,
astar-dial-cheb,with_roads,battlebot,69,143,124.8,0,,,
astar-dial-cheb,with_roads,battlebot,154,338,114.4,0,,,
astar-dial-cheb,with_roads,battlebot,416,13,391.7,0,,,
astar-dial-cheb,with_roads,battlebot,388,130,193.8,0,,,
astar-dial-cheb,with_roads,battlebot,496,451,27.2,0,,,
astar-dial-cheb,with_roads,battlebot,489,375,126.0,0,,,
astar-dial-cheb,with_roads,battlebot,277,144,202.4,0,,,
astar-dial-cheb,with_roads,battlebot,297,408,93.3,0,,,
astar-dial-cheb,with_roads,battlebot,183,559,245.3,0,,,
astar-dial-cheb,with_roads,battlebot,597,3,156.7,0,,,
astar-dial-cheb,with_roads,battlebot,526,557,38.9,0,,,
astar-jps,with_roads,battlebot,443,79,112.7,0,,,
astar-jps,with_roads,battlebot,12,514,106.9,0,,,
astar-jps,with_roads,battlebot,180,160,21.1,0,,,
astar-jps,with_roads,battlebot,147,96,191.6,0,,,
astar-jps,with_roads,battlebot,511,74,117.3,0,,,
astar-jps,with_roads,battlebot,471,514,25.3,0,,,
astar-jps,with_roads,battlebot,375,66,86.9,0,,,
astar-jps,with_roads,battlebot,409,280,43.7,0,,,
astar-jps,with_roads,battlebot,16,15,13.4,0,,,
astar-jps,with_roads,battlebot,69,143,90.8,0,,,
astar-jps,with_roads,battlebot,154,338,82.0,0,,,
astar-jps,with_roads,battlebot,416,13,756.4,0,,,
astar-jps,with_roads,battlebot,388,130,71.3,0,,,
astar-jps,with_roads,battlebot,496,451,29.9,0,,,
astar-jps,with_roads,battlebot,489,375,87.1,0,,,
