algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
astar-jps-precomp,with_roads,binary_tree,484,35,1,23.818000,1,1,1.000000,1,33,11,1230
astar-jps-precomp,with_roads,binary_tree,33,103,1,16.083000,1,1,1.000000,1,36,12,1230
astar-jps-precomp,with_roads,binary_tree,245,262,1,23.387000,1,1,1.000000,1,72,24,1230
astar-jps-precomp,with_roads,binary_tree,583,705,1,14.395000,1,1,1.000000,1,9,3,1230
astar-jps-precomp,with_roads,binary_tree,30,654,1,18.184000,1,1,1.000000,1,45,15,1230
astar-jps-precomp,with_roads,binary_tree,223,865,1,105.022000,1,1,1.524590,1,93,35,1230
astar-jps-precomp,with_roads,binary_tree,772,847,1,17.993000,1,1,1.000000,1,21,7,1230
astar-jps-precomp,with_roads,binary_tree,634,479,1,22.863000,1,1,1.000000,1,27,9,1230
astar-jps-precomp,with_roads,binary_tree,247,514,1,45.966000,1,1,1.204082,0,59,21,1230
astar-jps-precomp,with_roads,binary_tree,687,312,1,26.716000,1,1,1.000000,1,27,9,1230
astar-jps-precomp,with_roads,binary_tree,989,1063,1,38.499000,1,1,1.023529,1,87,33,1230
astar-jps-precomp,with_roads,binary_tree,6,925,1,46.632000,1,1,1.203390,0,71,25,1230
astar-jps-precomp,no_roads,building_blocks,1894,295,1,34.338000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,60,2174,1,16.193000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,796,691,1,14.585000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,636,368,1,50.234000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,2162,273,1,35.246000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,1987,2171,1,22.444000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,1588,230,1,35.109000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,1731,1241,1,46.486000,1,1,1.000000,1,30,10,2401
astar-jps-precomp,no_roads,building_blocks,78,72,1,22.658000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,245,622,1,34.119000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,660,1472,1,25.508000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,1759,63,1,23.740000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,1643,567,1,31.775000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,2106,1919,1,43.062000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,2067,1588,1,24.118000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,1235,629,1,22.216000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,1307,1727,1,23.326000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,803,2357,1,38.146000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,14,2219,1,23.877000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,building_blocks,2348,435,1,22.664000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,1894,295,1,18.356000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,60,2174,1,7.532000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,796,691,1,6.727000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,636,368,1,13.877000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,2162,273,1,6.281000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,1987,2171,1,5.238000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,1588,230,1,5.797000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,1731,1241,1,18.196000,1,1,1.000000,1,30,10,2401
astar-jps-precomp,with_roads,building_blocks,78,72,1,7.681000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,245,622,1,13.316000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,660,1472,1,6.850000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,1759,63,1,6.815000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,1643,567,1,11.341000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,2106,1919,1,10.692000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,2067,1588,1,6.156000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,1235,629,1,8.587000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,1307,1727,1,6.027000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,803,2357,1,12.014000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,14,2219,1,6.536000,0,0,,,0,0,2401
astar-jps-precomp,with_roads,building_blocks,2348,435,1,6.346000,0,0,,,0,0,2401
astar-jps-precomp,no_roads,butterfly,133,25,1,14.639000,1,1,1.000000,1,48,16,961
astar-jps-precomp,no_roads,butterfly,392,326,1,30.111000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,293,173,1,7.481000,1,1,1.000000,1,12,4,961
astar-jps-precomp,no_roads,butterfly,110,834,1,4.859000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,89,907,1,8.879000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,659,32,1,17.344000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,30,101,1,13.523000,1,1,1.000000,1,66,22,961
astar-jps-precomp,no_roads,butterfly,285,306,1,26.588000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,775,928,1,8.598000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,27,861,1,7.154000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,257,834,1,30.668000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,656,287,1,17.119000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,694,906,1,18.948000,1,1,1.000000,1,24,8,961
astar-jps-precomp,no_roads,butterfly,398,6,1,27.793000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,203,659,1,4.529000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,489,398,1,9.413000,1,1,1.000000,1,9,3,961
astar-jps-precomp,no_roads,butterfly,199,282,1,3.974000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,483,110,1,25.958000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,100,556,1,5.918000,0,0,,,0,0,961
astar-jps-precomp,no_roads,butterfly,105,520,1,3.906000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,133,25,1,12.227000,1,1,1.000000,1,48,16,961
astar-jps-precomp,with_roads,butterfly,392,326,1,32.902000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,293,173,1,7.753000,1,1,1.000000,1,12,4,961
astar-jps-precomp,with_roads,butterfly,110,834,1,4.791000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,89,907,1,8.781000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,659,32,1,18.389000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,30,101,1,17.300000,1,1,1.000000,1,66,22,961
astar-jps-precomp,with_roads,butterfly,285,306,1,29.730000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,775,928,1,8.566000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,27,861,1,7.084000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,257,834,1,30.948000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,656,287,1,18.741000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,694,906,1,19.072000,1,1,1.000000,1,24,8,961
astar-jps-precomp,with_roads,butterfly,398,6,1,28.452000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,203,659,1,4.665000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,489,398,1,9.198000,1,1,1.000000,1,9,3,961
astar-jps-precomp,with_roads,butterfly,199,282,1,4.153000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,483,110,1,26.032000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,100,556,1,4.507000,0,0,,,0,0,961
astar-jps-precomp,with_roads,butterfly,105,520,1,3.936000,0,0,,,0,0,961
astar-jps-precomp,no_roads,castle_keep,1647,244,1,61.375000,1,1,1.000000,1,105,35,2401
astar-jps-precomp,no_roads,castle_keep,51,1879,1,43.558000,1,1,1.000000,1,114,38,2401
astar-jps-precomp,no_roads,castle_keep,600,535,1,36.743000,1,1,1.000000,1,105,35,2401
astar-jps-precomp,no_roads,castle_keep,489,308,1,27.948000,1,1,1.000000,1,102,34,2401
astar-jps-precomp,no_roads,castle_keep,1868,222,1,61.171000,1,1,1.000000,1,120,40,2401
astar-jps-precomp,no_roads,castle_keep,1732,1877,1,13.018000,1,1,1.000000,1,9,3,2401
astar-jps-precomp,no_roads,castle_keep,2277,1395,1,32.883000,1,1,1.000000,1,102,34,2401
astar-jps-precomp,no_roads,castle_keep,186,1517,1,37.977000,1,1,1.000000,1,84,28,2401
astar-jps-precomp,no_roads,castle_keep,1057,65,1,39.787000,1,1,1.000000,1,60,20,2401
