algo,scenario,map,start,time_us,exact,worst_ratio
bfs,no_roads,GoodMap,532,509.458000,1,1.000000
bfs,no_roads,GoodMap,291,489.442000,1,1.000000
bfs,no_roads,GoodMap,2325,480.197000,1,1.000000
bfs,no_roads,GoodMap,213,472.871000,1,1.000000
bfs-alloc,no_roads,GoodMap,2103,481.325000,1,1.000000
bfs-alloc,no_roads,GoodMap,232,468.336000,1,1.000000
bfs-alloc,no_roads,GoodMap,52,463.688000,1,1.000000
bfs-alloc,no_roads,GoodMap,2335,485.360000,1,1.000000
bfs-alloc,no_roads,GoodMap,732,467.024000,1,1.000000
bfs-alloc,no_roads,GoodMap,605,459.079000,1,1.000000
bfs-alloc,no_roads,GoodMap,532,477.094000,1,1.000000
bfs-alloc,no_roads,GoodMap,291,465.673000,1,1.000000
bfs-alloc,no_roads,GoodMap,2325,466.948000,1,1.000000
bfs-alloc,no_roads,GoodMap,213,464.430000,1,1.000000
bfs-swap,no_roads,GoodMap,2103,490.960000,1,1.000000
bfs-swap,no_roads,GoodMap,232,472.549000,1,1.000000
bfs-swap,no_roads,GoodMap,52,463.711000,1,1.000000
bfs-swap,no_roads,GoodMap,2335,466.856000,1,1.000000
bfs-swap,no_roads,GoodMap,732,474.164000,1,1.000000
bfs-swap,no_roads,GoodMap,605,453.137000,1,1.000000
bfs-swap,no_roads,GoodMap,532,468.780000,1,1.000000
bfs-swap,no_roads,GoodMap,291,467.504000,1,1.000000
bfs-swap,no_roads,GoodMap,2325,471.246000,1,1.000000
bfs-swap,no_roads,GoodMap,213,465.210000,1,1.000000
bfs-unrolled,no_roads,GoodMap,2103,467.607000,1,1.000000
bfs-unrolled,no_roads,GoodMap,232,467.949000,1,1.000000
bfs-unrolled,no_roads,GoodMap,52,454.709000,1,1.000000
bfs-unrolled,no_roads,GoodMap,2335,466.602000,1,1.000000
bfs-unrolled,no_roads,GoodMap,732,468.406000,1,1.000000
bfs-unrolled,no_roads,GoodMap,605,458.163000,1,1.000000
bfs-unrolled,no_roads,GoodMap,532,466.123000,1,1.000000
bfs-unrolled,no_roads,GoodMap,291,450.258000,1,1.000000
bfs-unrolled,no_roads,GoodMap,2325,478.763000,1,1.000000
bfs-unrolled,no_roads,GoodMap,213,456.281000,1,1.000000
bfs,with_roads,GoodMap,2103,541.421000,0,1.285714
bfs,with_roads,GoodMap,232,504.671000,0,3.000000
bfs,with_roads,GoodMap,52,489.464000,0,3.000000
bfs,with_roads,GoodMap,2335,518.158000,0,1.655172
bfs,with_roads,GoodMap,732,528.963000,0,2.365385
bfs,with_roads,GoodMap,605,471.357000,0,2.014925
bfs,with_roads,GoodMap,532,474.013000,0,2.340000
bfs,with_roads,GoodMap,291,496.361000,0,2.608696
bfs,with_roads,GoodMap,2325,533.452000,0,1.426230
bfs,with_roads,GoodMap,213,490.420000,0,2.571429
bfs-alloc,with_roads,GoodMap,2103,484.316000,0,1.285714
bfs-alloc,with_roads,GoodMap,232,503.312000,0,3.000000
bfs-alloc,with_roads,GoodMap,52,457.472000,0,3.000000
bfs-alloc,with_roads,GoodMap,2335,465.839000,0,1.655172
bfs-alloc,with_roads,GoodMap,732,463.924000,0,2.365385
bfs-alloc,with_roads,GoodMap,605,477.767000,0,2.014925
bfs-alloc,with_roads,GoodMap,532,468.382000,0,2.340000
bfs-alloc,with_roads,GoodMap,291,475.410000,0,2.608696
bfs-alloc,with_roads,GoodMap,2325,468.502000,0,1.426230
bfs-alloc,with_roads,GoodMap,213,512.570000,0,2.571429
bfs-swap,with_roads,GoodMap,2103,482.552000,0,1.285714
bfs-swap,with_roads,GoodMap,232,471.964000,0,3.000000
bfs-swap,with_roads,GoodMap,52,467.157000,0,3.000000
bfs-swap,with_roads,GoodMap,2335,481.434000,0,1.655172
bfs-swap,with_roads,GoodMap,732,469.082000,0,2.365385
bfs-swap,with_roads,GoodMap,605,456.890000,0,2.014925
bfs-swap,with_roads,GoodMap,532,479.716000,0,2.340000
bfs-swap,with_roads,GoodMap,291,465.045000,0,2.608696
bfs-swap,with_roads,GoodMap,2325,473.864000,0,1.426230
bfs-swap,with_roads,GoodMap,213,479.690000,0,2.571429
bfs-unrolled,with_roads,GoodMap,2103,490.589000,0,1.285714
bfs-unrolled,with_roads,GoodMap,232,461.389000,0,3.000000
bfs-unrolled,with_roads,GoodMap,52,461.277000,0,3.000000
bfs-unrolled,with_roads,GoodMap,2335,476.764000,0,1.655172
bfs-unrolled,with_roads,GoodMap,732,493.649000,0,2.365385
bfs-unrolled,with_roads,GoodMap,605,469.609000,0,2.014925
bfs-unrolled,with_roads,GoodMap,532,463.001000,0,2.340000
bfs-unrolled,with_roads,GoodMap,291,455.507000,0,2.608696
bfs-unrolled,with_roads,GoodMap,2325,470.486000,0,1.426230
bfs-unrolled,with_roads,GoodMap,213,469.401000,0,2.571429
bfs,no_roads,ac,69,79.812000,1,1.000000
bfs,no_roads,ac,12,70.399000,1,1.000000
bfs,no_roads,ac,205,1.552000,1,1.000000
bfs,no_roads,ac,177,72.166000,1,1.000000
bfs,no_roads,ac,155,70.873000,1,1.000000
bfs,no_roads,ac,85,69.148000,1,1.000000
bfs,no_roads,ac,62,67.544000,1,1.000000
bfs,no_roads,ac,52,67.706000,1,1.000000
bfs,no_roads,ac,330,71.200000,1,1.000000
bfs,no_roads,ac,16,70.686000,1,1.000000
bfs-alloc,no_roads,ac,69,73.421000,1,1.000000
bfs-alloc,no_roads,ac,12,75.666000,1,1.000000
bfs-alloc,no_roads,ac,205,1.771000,1,1.000000
bfs-alloc,no_roads,ac,177,74.657000,1,1.000000
bfs-alloc,no_roads,ac,155,68.413000,1,1.000000
bfs-alloc,no_roads,ac,85,70.184000,1,1.000000
bfs-alloc,no_roads,ac,62,68.463000,1,1.000000
bfs-alloc,no_roads,ac,52,67.099000,1,1.000000
bfs-alloc,no_roads,ac,330,69.035000,1,1.000000
bfs-alloc,no_roads,ac,16,67.377000,1,1.000000
bfs-swap,no_roads,ac,69,83.149000,1,1.000000
bfs-swap,no_roads,ac,12,72.137000,1,1.000000
bfs-swap,no_roads,ac,205,1.997000,1,1.000000
bfs-swap,no_roads,ac,177,72.251000,1,1.000000
bfs-swap,no_roads,ac,155,71.932000,1,1.000000
bfs-swap,no_roads,ac,85,73.370000,1,1.000000
bfs-swap,no_roads,ac,62,71.374000,1,1.000000
bfs-swap,no_roads,ac,52,71.230000,1,1.000000
bfs-swap,no_roads,ac,330,73.479000,1,1.000000
bfs-swap,no_roads,ac,16,73.178000,1,1.000000
bfs-unrolled,no_roads,ac,69,69.394000,1,1.000000
bfs-unrolled,no_roads,ac,12,67.535000,1,1.000000
bfs-unrolled,no_roads,ac,205,1.779000,1,1.000000
bfs-unrolled,no_roads,ac,177,77.156000,1,1.000000
bfs-unrolled,no_roads,ac,155,68.200000,1,1.000000
bfs-unrolled,no_roads,ac,85,68.104000,1,1.000000
bfs-unrolled,no_roads,ac,62,67.534000,1,1.000000
bfs-unrolled,no_roads,ac,52,72.316000,1,1.000000
bfs-unrolled,no_roads,ac,330,69.289000,1,1.000000
bfs-unrolled,no_roads,ac,16,73.798000,1,1.000000
bfs,with_roads,ac,69,71.821000,0,3.000000
bfs,with_roads,ac,12,70.033000,0,3.000000
bfs,with_roads,ac,205,2.246000,1,1.000000
bfs,with_roads,ac,177,71.755000,0,2.777778
bfs,with_roads,ac,155,70.344000,0,3.000000
bfs,with_roads,ac,85,69.113000,0,2.647059
bfs,with_roads,ac,62,66.843000,0,2.755102
bfs,with_roads,ac,52,66.339000,0,2.842105
bfs,with_roads,ac,330,71.215000,0,3.000000
bfs,with_roads,ac,16,68.211000,0,3.000000
bfs-alloc,with_roads,ac,69,70.753000,0,3.000000
bfs-alloc,with_roads,ac,12,68.968000,0,3.000000
bfs-alloc,with_roads,ac,205,1.520000,1,1.000000
bfs-alloc,with_roads,ac,177,68.511000,0,2.777778
bfs-alloc,with_roads,ac,155,67.307000,0,3.000000
bfs-alloc,with_roads,ac,85,66.446000,0,2.647059
bfs-alloc,with_roads,ac,62,66.870000,0,2.755102
bfs-alloc,with_roads,ac,52,65.829000,0,2.842105
bfs-alloc,with_roads,ac,330,68.872000,0,3.000000
bfs-alloc,with_roads,ac,16,66.335000,0,3.000000
bfs-swap,with_roads,ac,69,74.372000,0,3.000000
bfs-swap,with_roads,ac,12,71.118000,0,3.000000
bfs-swap,with_roads,ac,205,1.897000,1,1.000000
bfs-swap,with_roads,ac,177,71.536000,0,2.777778
bfs-swap,with_roads,ac,155,69.360000,0,3.000000
bfs-swap,with_roads,ac,85,71.094000,0,2.647059
bfs-swap,with_roads,ac,62,69.433000,0,2.755102
bfs-swap,with_roads,ac,52,68.357000,0,2.842105
bfs-swap,with_roads,ac,330,71.914000,0,3.000000
bfs-swap,with_roads,ac,16,69.440000,0,3.000000
bfs-unrolled,with_roads,ac,69,74.460000,0,3.000000
bfs-unrolled,with_roads,ac,12,68.513000,0,3.000000
bfs-unrolled,with_roads,ac,205,1.857000,1,1.000000
bfs-unrolled,with_roads,ac,177,67.311000,0,2.777778
bfs-unrolled,with_roads,ac,155,66.771000,0,3.000000
bfs-unrolled,with_roads,ac,85,67.179000,0,2.647059
bfs-unrolled,with_roads,ac,62,67.236000,0,2.755102
bfs-unrolled,with_roads,ac,52,66.444000,0,2.842105
bfs-unrolled,with_roads,ac,330,70.293000,0,3.000000
bfs-unrolled,with_roads,ac,16,66.288000,0,3.000000
bfs,no_roads,ancient_tile,257,371.468000,1,1.000000
bfs,no_roads,ancient_tile,57,365.840000,1,1.000000
bfs,no_roads,ancient_tile,699,372.329000,1,1.000000
bfs,no_roads,ancient_tile,619,370.303000,1,1.000000
bfs,no_roads,ancient_tile,563,370.999000,1,1.000000
bfs,no_roads,ancient_tile,325,371.949000,1,1.000000
bfs,no_roads,ancient_tile,233,376.302000,1,1.000000
bfs,no_roads,ancient_tile,1410,367.272000,1,1.000000
bfs,no_roads,ancient_tile,199,375.934000,1,1.000000
bfs,no_roads,ancient_tile,1514,399.385000,1,1.000000
bfs-alloc,no_roads,ancient_tile,257,366.474000,1,1.000000
bfs-alloc,no_roads,ancient_tile,57,351.470000,1,1.000000
bfs-alloc,no_roads,ancient_tile,699,355.459000,1,1.000000
bfs-alloc,no_roads,ancient_tile,619,376.240000,1,1.000000
bfs-alloc,no_roads,ancient_tile,563,355.181000,1,1.000000
bfs-alloc,no_roads,ancient_tile,325,359.424000,1,1.000000
bfs-alloc,no_roads,ancient_tile,233,348.023000,1,1.000000
bfs-alloc,no_roads,ancient_tile,1410,348.818000,1,1.000000
bfs-alloc,no_roads,ancient_tile,199,370.804000,1,1.000000
bfs-alloc,no_roads,ancient_tile,1514,350.333000,1,1.000000
bfs-swap,no_roads,ancient_tile,257,354.450000,1,1.000000
bfs-swap,no_roads,ancient_tile,57,345.448000,1,1.000000
bfs-swap,no_roads,ancient_tile,699,356.652000,1,1.000000
bfs-swap,no_roads,ancient_tile,619,354.059000,1,1.000000
bfs-swap,no_roads,ancient_tile,563,350.257000,1,1.000000
bfs-swap,no_roads,ancient_tile,325,350.776000,1,1.000000
bfs-swap,no_roads,ancient_tile,233,354.304000,1,1.000000
bfs-swap,no_roads,ancient_tile,1410,356.815000,1,1.000000
bfs-swap,no_roads,ancient_tile,199,358.587000,1,1.000000
bfs-swap,no_roads,ancient_tile,1514,365.001000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,257,359.403000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,57,352.735000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,699,368.571000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,619,352.476000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,563,350.618000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,325,356.687000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,233,346.231000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,1410,366.224000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,199,340.646000,1,1.000000
bfs-unrolled,no_roads,ancient_tile,1514,345.190000,1,1.000000
bfs,with_roads,ancient_tile,257,375.092000,0,1.297297
bfs,with_roads,ancient_tile,57,355.855000,0,1.224490
bfs,with_roads,ancient_tile,699,366.127000,0,1.153846
bfs,with_roads,ancient_tile,619,375.332000,0,1.173913
bfs,with_roads,ancient_tile,563,370.562000,0,1.105263
bfs,with_roads,ancient_tile,325,368.103000,0,1.200000
bfs,with_roads,ancient_tile,233,363.194000,0,1.125000
bfs,with_roads,ancient_tile,1410,368.546000,0,1.039604
bfs,with_roads,ancient_tile,199,369.624000,0,1.106796
bfs,with_roads,ancient_tile,1514,369.109000,0,1.069565
bfs-alloc,with_roads,ancient_tile,257,365.882000,0,1.297297
bfs-alloc,with_roads,ancient_tile,57,353.409000,0,1.224490
bfs-alloc,with_roads,ancient_tile,699,359.042000,0,1.153846
bfs-alloc,with_roads,ancient_tile,619,357.553000,0,1.173913
bfs-alloc,with_roads,ancient_tile,563,371.039000,0,1.105263
bfs-alloc,with_roads,ancient_tile,325,348.441000,0,1.200000
bfs-alloc,with_roads,ancient_tile,233,351.832000,0,1.125000
bfs-alloc,with_roads,ancient_tile,1410,365.381000,0,1.039604
bfs-alloc,with_roads,ancient_tile,199,351.650000,0,1.106796
bfs-alloc,with_roads,ancient_tile,1514,357.443000,0,1.069565
bfs-swap,with_roads,ancient_tile,257,352.828000,0,1.297297
bfs-swap,with_roads,ancient_tile,57,348.191000,0,1.224490
bfs-swap,with_roads,ancient_tile,699,366.266000,0,1.153846
bfs-swap,with_roads,ancient_tile,619,350.851000,0,1.173913
bfs-swap,with_roads,ancient_tile,563,367.896000,0,1.105263
bfs-swap,with_roads,ancient_tile,325,366.714000,0,1.200000
bfs-swap,with_roads,ancient_tile,233,350.549000,0,1.125000
bfs-swap,with_roads,ancient_tile,1410,442.820000,0,1.039604
bfs-swap,with_roads,ancient_tile,199,536.721000,0,1.106796
bfs-swap,with_roads,ancient_tile,1514,516.267000,0,1.069565
bfs-unrolled,with_roads,ancient_tile,257,350.609000,0,1.297297
bfs-unrolled,with_roads,ancient_tile,57,344.901000,0,1.224490
bfs-unrolled,with_roads,ancient_tile,699,354.762000,0,1.153846
bfs-unrolled,with_roads,ancient_tile,619,373.836000,0,1.173913
bfs-unrolled,with_roads,ancient_tile,563,350.372000,0,1.105263
bfs-unrolled,with_roads,ancient_tile,325,352.649000,0,1.200000
bfs-unrolled,with_roads,ancient_tile,233,348.192000,0,1.125000
bfs-unrolled,with_roads,ancient_tile,1410,363.190000,0,1.039604
bfs-unrolled,with_roads,ancient_tile,199,347.877000,0,1.106796
bfs-unrolled,with_roads,ancient_tile,1514,347.850000,0,1.069565
bfs,no_roads,arena,126,177.982000,1,1.000000
bfs,no_roads,arena,25,172.044000,1,1.000000
bfs,no_roads,arena,308,172.139000,1,1.000000
bfs,no_roads,arena,275,169.107000,1,1.000000
bfs,no_roads,arena,252,172.341000,1,1.000000
bfs,no_roads,arena,156,170.064000,1,1.000000
bfs,no_roads,arena,115,167.993000,1,1.000000
bfs,no_roads,arena,613,170.283000,1,1.000000
bfs,no_roads,arena,99,173.244000,1,1.000000
bfs,no_roads,arena,473,166.892000,1,1.000000
bfs-alloc,no_roads,arena,126,166.563000,1,1.000000
bfs-alloc,no_roads,arena,25,163.240000,1,1.000000
bfs-alloc,no_roads,arena,308,164.502000,1,1.000000
bfs-alloc,no_roads,arena,275,157.951000,1,1.000000
bfs-alloc,no_roads,arena,252,164.158000,1,1.000000
bfs-alloc,no_roads,arena,156,163.349000,1,1.000000
bfs-alloc,no_roads,arena,115,167.877000,1,1.000000
bfs-alloc,no_roads,arena,613,172.062000,1,1.000000
bfs-alloc,no_roads,arena,99,165.665000,1,1.000000
bfs-alloc,no_roads,arena,473,160.436000,1,1.000000
bfs-swap,no_roads,arena,126,167.244000,1,1.000000
bfs-swap,no_roads,arena,25,164.585000,1,1.000000
bfs-swap,no_roads,arena,308,162.079000,1,1.000000
bfs-swap,no_roads,arena,275,164.960000,1,1.000000
bfs-swap,no_roads,arena,252,158.915000,1,1.000000
bfs-swap,no_roads,arena,156,165.782000,1,1.000000
bfs-swap,no_roads,arena,115,163.748000,1,1.000000
bfs-swap,no_roads,arena,613,166.854000,1,1.000000
bfs-swap,no_roads,arena,99,168.322000,1,1.000000
bfs-swap,no_roads,arena,473,163.524000,1,1.000000
bfs-unrolled,no_roads,arena,126,161.941000,1,1.000000
bfs-unrolled,no_roads,arena,25,157.780000,1,1.000000
bfs-unrolled,no_roads,arena,308,162.914000,1,1.000000
bfs-unrolled,no_roads,arena,275,157.535000,1,1.000000
bfs-unrolled,no_roads,arena,252,156.603000,1,1.000000
bfs-unrolled,no_roads,arena,156,161.239000,1,1.000000
bfs-unrolled,no_roads,arena,115,158.606000,1,1.000000
bfs-unrolled,no_roads,arena,613,165.421000,1,1.000000
bfs-unrolled,no_roads,arena,99,172.687000,1,1.000000
bfs-unrolled,no_roads,arena,473,160.739000,1,1.000000
bfs,with_roads,arena,126,174.318000,0,3.000000
bfs,with_roads,arena,25,171.263000,0,3.000000
bfs,with_roads,arena,308,171.679000,0,3.000000
bfs,with_roads,arena,275,165.873000,0,3.000000
