map,width,height,n,passable,scenario,n_roads,technique,weight,t_p50,t_p95,t_max,t_mean,exp_mean,o_mean,o_p95,o_max,nopath
default_small1,20,20,400,360,no_roads,0,astar_w3,3,73.2,186.3,236.6,83.0,91,1.0,1.0,1.0,0
default_small1,20,20,400,360,no_roads,0,astar_w5,5,25.5,93.9,219.6,37.0,32,1.0,1.0,1.0,0
default_small1,20,20,400,360,no_roads,0,astar_w_avg,5,27.8,89.5,168.9,38.0,32,1.0,1.0,1.0,0
default_small1,20,20,400,360,no_roads,0,astar_w_min,5,25.3,88.5,127.4,34.8,32,1.0,1.0,1.0,0
default_small1,20,20,400,360,no_roads,0,greedy,0,12.7,23.0,47.1,13.5,11,1.0723,1.25,1.561,0
default_small1,20,20,400,360,with_roads,12,dial_exact,0,127.0,225.3,635.6,128.8,187,1.0,1.0,1.0,0
default_small1,20,20,400,360,with_roads,12,astar_w1,1,133.3,287.2,328.8,140.1,152,1.0,1.0,1.0,0
default_small1,20,20,400,360,with_roads,12,astar_w3,3,64.9,206.7,247.4,85.1,88,1.0002,1.0,1.0165,0
default_small1,20,20,400,360,with_roads,12,astar_w5,5,25.7,87.7,122.5,34.2,30,1.0053,1.0432,1.1732,0
default_small1,20,20,400,360,with_roads,12,astar_w_avg,4,47.7,156.3,291.2,62.9,61,1.0008,1.0,1.0496,0
default_small1,20,20,400,360,with_roads,12,astar_w_min,1,127.9,296.0,331.7,139.1,152,1.0,1.0,1.0,0
default_small1,20,20,400,360,with_roads,12,greedy,0,13.4,24.4,39.4,14.3,11,1.0846,1.2727,1.561,0
default_small2,21,21,441,373,no_roads,0,dial_exact,0,130.8,233.0,286.4,128.6,189,1.0,1.0,1.0,0
default_small2,21,21,441,373,no_roads,0,astar_w1,1,124.6,282.5,309.4,135.8,158,1.0,1.0,1.0,0
default_small2,21,21,441,373,no_roads,0,astar_w3,3,81.9,231.2,275.8,96.3,105,1.0,1.0,1.0,0
default_small2,21,21,441,373,no_roads,0,astar_w5,5,37.4,163.4,265.9,51.8,48,1.0,1.0,1.0,0
default_small2,21,21,441,373,no_roads,0,astar_w_avg,5,36.2,151.6,277.3,51.2,48,1.0,1.0,1.0,0
default_small2,21,21,441,373,no_roads,0,astar_w_min,5,38.6,155.0,305.5,52.0,48,1.0,1.0,1.0,0
default_small2,21,21,441,373,no_roads,0,greedy,0,15.7,42.9,68.2,18.9,18,1.1271,1.5862,2.4824,0
default_small2,21,21,441,373,with_roads,35,dial_exact,0,121.3,225.7,362.1,122.0,183,1.0,1.0,1.0,0
default_small2,21,21,441,373,with_roads,35,astar_w1,1,112.0,291.8,651.7,129.0,147,1.0,1.0,1.0,0
default_small2,21,21,441,373,with_roads,35,astar_w3,3,57.0,227.1,317.2,83.3,87,1.0036,1.0063,1.1467,0
default_small2,21,21,441,373,with_roads,35,astar_w5,5,30.2,136.3,365.8,47.2,42,1.0591,1.3768,2.5,0
default_small2,21,21,441,373,with_roads,35,astar_w_avg,4,44.4,193.2,307.7,62.8,63,1.0137,1.1008,1.9298,0
default_small2,21,21,441,373,with_roads,35,astar_w_min,1,110.2,273.8,298.7,124.0,147,1.0,1.0,1.0,0
default_small2,21,21,441,373,with_roads,35,greedy,0,15.7,42.9,57.1,19.1,18,1.3995,2.625,4.0571,0
dna,21,50,1050,804,no_roads,0,dial_exact,0,207.3,416.1,687.7,219.6,323,1.0,1.0,1.0,0
dna,21,50,1050,804,no_roads,0,astar_w1,1,244.6,535.0,729.8,262.0,299,1.0,1.0,1.0,0
dna,21,50,1050,804,no_roads,0,astar_w3,3,199.0,513.5,597.0,226.7,250,1.0,1.0,1.0,0
dna,21,50,1050,804,no_roads,0,astar_w5,5,143.4,433.8,576.7,177.5,165,1.0,1.0,1.0,0
dna,21,50,1050,804,no_roads,0,astar_w_avg,5,145.6,490.5,563.2,183.6,165,1.0,1.0,1.0,0
dna,21,50,1050,804,no_roads,0,astar_w_min,5,148.4,532.6,881.6,196.9,165,1.0,1.0,1.0,0
dna,21,50,1050,804,no_roads,0,greedy,0,42.9,177.7,240.8,57.3,61,1.1111,1.5841,2.8885,0
dna,21,50,1050,804,with_roads,71,dial_exact,0,211.5,443.8,526.0,222.6,320,1.0,1.0,1.0,0
dna,21,50,1050,804,with_roads,71,astar_w1,1,215.1,581.4,685.6,259.9,265,1.0,1.0,1.0,0
dna,21,50,1050,804,with_roads,71,astar_w3,3,123.3,483.0,794.6,176.9,170,1.0012,1.0,1.0641,0
dna,21,50,1050,804,with_roads,71,astar_w5,5,88.8,542.6,1580.8,174.8,155,1.0959,1.5738,2.6744,0
dna,21,50,1050,804,with_roads,71,astar_w_avg,4,116.3,436.3,509.8,152.8,151,1.0061,1.0,1.3467,0
dna,21,50,1050,804,with_roads,71,astar_w_min,1,186.8,549.0,667.2,241.7,265,1.0,1.0,1.0,0
dna,21,50,1050,804,with_roads,71,greedy,0,38.9,176.9,219.1,52.0,61,1.8789,3.6237,6.28,0
face,20,20,400,350,no_roads,0,dial_exact,0,120.6,220.0,247.8,118.6,175,1.0,1.0,1.0,0
face,20,20,400,350,no_roads,0,astar_w1,1,115.9,269.8,331.7,129.3,144,1.0,1.0,1.0,0
face,20,20,400,350,no_roads,0,astar_w3,3,74.2,223.4,267.9,87.0,87,1.0,1.0,1.0,0
face,20,20,400,350,no_roads,0,astar_w5,5,28.5,105.9,180.8,37.8,33,1.0,1.0,1.0,0
face,20,20,400,350,no_roads,0,astar_w_avg,5,28.1,103.4,161.5,38.0,33,1.0,1.0,1.0,0
face,20,20,400,350,no_roads,0,astar_w_min,5,26.5,105.8,187.1,38.2,33,1.0,1.0,1.0,0
face,20,20,400,350,no_roads,0,greedy,0,14.2,27.2,39.3,14.6,11,1.0728,1.2719,1.5528,0
face,20,20,400,350,with_roads,26,dial_exact,0,119.1,227.0,271.7,120.9,173,1.0,1.0,1.0,0
face,20,20,400,350,with_roads,26,astar_w1,1,118.6,275.6,337.5,127.2,138,1.0,1.0,1.0,0
face,20,20,400,350,with_roads,26,astar_w3,3,62.9,207.0,281.7,77.7,75,1.0005,1.0,1.0648,0
face,20,20,400,350,with_roads,26,astar_w5,5,22.6,79.4,220.4,31.4,26,1.0352,1.2308,1.7091,0
face,20,20,400,350,with_roads,26,astar_w_avg,4,38.9,135.6,201.2,51.2,50,1.0075,1.0571,1.3125,0
face,20,20,400,350,with_roads,26,astar_w_min,1,113.7,272.2,365.8,125.0,138,1.0,1.0,1.0,0
face,20,20,400,350,with_roads,26,greedy,0,13.3,25.3,52.7,13.9,11,1.1806,1.6618,2.1111,0
galaxy,40,40,1600,1442,no_roads,0,dial_exact,0,510.4,1081.6,1207.8,546.4,718,1.0,1.0,1.0,0
galaxy,40,40,1600,1442,no_roads,0,astar_w1,1,479.3,1344.7,1500.1,587.7,577,1.0,1.0,1.0,0
galaxy,40,40,1600,1442,no_roads,0,astar_w3,3,285.1,978.3,1201.0,370.4,329,1.0,1.0,1.0,0
galaxy,40,40,1600,1442,no_roads,0,astar_w5,5,90.4,385.7,548.4,132.6,110,1.0,1.0,1.0,0
galaxy,40,40,1600,1442,no_roads,0,astar_w_avg,5,90.9,383.0,546.2,131.0,110,1.0,1.0,1.0,0
galaxy,40,40,1600,1442,no_roads,0,astar_w_min,5,91.3,376.8,534.3,129.2,110,1.0,1.0,1.0,0
galaxy,40,40,1600,1442,no_roads,0,greedy,0,27.9,56.4,72.1,29.1,23,1.1162,1.4413,1.6159,0
galaxy,40,40,1600,1442,with_roads,71,dial_exact,0,520.2,1026.0,1424.1,539.2,730,1.0,1.0,1.0,0
galaxy,40,40,1600,1442,with_roads,71,astar_w1,1,483.0,1346.8,1708.0,567.3,556,1.0,1.0,1.0,0
